Model,Accuracy,Macro Precision,Macro Recall,Macro F1,ROC-AUC,Log Loss
Logistic Regression,0.9743589743589743,0.9830316742081449,0.9744897959183674,0.9777769383797941,0.994810181943574,0.13592439393171235
ANN,0.9743589743589743,0.9830316742081449,0.9744897959183674,0.9777769383797941,0.9905141265482854,0.2362826175063948
Random Forest,0.9726495726495726,0.9802412504247366,0.9737632917244567,0.9763816405727285,0.9928355960805694,0.2551658929365843
KNN,0.9726495726495726,0.9802412504247366,0.9737632917244567,0.9763816405727285,0.9922257768617665,0.30504559098979306
